MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Columbus, GA AL","Columbus, GA AL",32.46098,-84.9877,309979,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Columbus, GA AL<br><a href=""http://45.35.64.128:8000/details.html?city=Columbus, GA AL"">Link to Page...</a>"
"Columbus, IN","Columbus, IN",39.20144,-85.9214,81024,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Columbus, IN<br><a href=""http://45.35.64.128:8000/details.html?city=Columbus, IN"">Link to Page...</a>"
"Columbus, OH","Columbus, OH",39.96118,-82.9988,2023695,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Columbus, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Columbus, OH"">Link to Page...</a>"
"Corpus Christi, TX","Corpus Christi, TX",27.80058,-97.3964,450183,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Corpus Christi, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Corpus Christi, TX"">Link to Page...</a>"
"Corvallis, OR","Corcitylis, OR",44.56457,-123.262,88249,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Corvallis, OR<br><a href=""http://45.35.64.128:8000/details.html?city=Corvallis, OR"">Link to Page...</a>"
"Crestview Fort Walton Beach Destin, FL","Crestview Fort Walton Beach Destin, FL",30.75418,-86.5728,261048,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Crestview Fort Walton Beach Destin, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Crestview Fort Walton Beach Destin, FL"">Link to Page...</a>"
"Cumberland, MD WV","Cumberland, MD WV",39.65287,-78.7625,100012,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cumberland, MD WV<br><a href=""http://45.35.64.128:8000/details.html?city=Cumberland, MD WV"">Link to Page...</a>"
"Dallas Fort Worth Arlington, TX","Dallas Fort Worth Arlington, TX",32.78014,-96.8005,7104415,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dallas Fort Worth Arlington, TX<br><a href=""http://45.35.64.128:8000/details.html?city=Dallas Fort Worth Arlington, TX"">Link to Page...</a>"
"Dalton, GA","Dalton, GA",34.7698,-84.9702,143407,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dalton, GA<br><a href=""http://45.35.64.128:8000/details.html?city=Dalton, GA"">Link to Page...</a>"
"Danville, IL","Danville, IL",40.12448,-87.63,79207,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Danville, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Danville, IL"">Link to Page...</a>"
"Davenport Moline Rock Island, IA IL","Davenport Moline Rock Island, IA IL",41.52364,-90.5776,383141,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Davenport Moline Rock Island, IA IL<br><a href=""http://45.35.64.128:8000/details.html?city=Davenport Moline Rock Island, IA IL"">Link to Page...</a>"
"Dayton, OH","Dayton, OH",39.75895,-84.1916,800893,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dayton, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Dayton, OH"">Link to Page...</a>"
"Decatur, AL","Decatur, AL",34.60593,-86.9833,152445,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Decatur, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Decatur, AL"">Link to Page...</a>"
"Decatur, IL","Decatur, IL",39.84031,-88.9548,107587,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Decatur, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Decatur, IL"">Link to Page...</a>"
"Deltona Daytona Beach Ormond Beach, FL","Deltona Daytona Beach Ormond Beach, FL",28.90054,-81.2637,623675,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Deltona Daytona Beach Ormond Beach, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Deltona Daytona Beach Ormond Beach, FL"">Link to Page...</a>"
"Denver Aurora Lakewood, CO","Denver Aurora Lakewood, CO",39.73757,-104.985,2798684,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Denver Aurora Lakewood, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Denver Aurora Lakewood, CO"">Link to Page...</a>"
"Des Moines West Des Moines, IA","Des Moines West Des Moines, IA",41.60054,-93.6091,623113,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Des Moines West Des Moines, IA<br><a href=""http://45.35.64.128:8000/details.html?city=Des Moines West Des Moines, IA"">Link to Page...</a>"
"Detroit Warren Dearborn, MI","Detroit Warren Dearborn, MI",42.33143,-83.0458,4304613,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Detroit Warren Dearborn, MI<br><a href=""http://45.35.64.128:8000/details.html?city=Detroit Warren Dearborn, MI"">Link to Page...</a>"
"Dothan, AL","Dothan, AL",31.22323,-85.3905,147790,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dothan, AL<br><a href=""http://45.35.64.128:8000/details.html?city=Dothan, AL"">Link to Page...</a>"
"Dover, DE","Dover, DE",39.15817,-75.5244,173145,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Dover, DE<br><a href=""http://45.35.64.128:8000/details.html?city=Dover, DE"">Link to Page...</a>"
